Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,29,67,0.004396325,0.002526350,0.507796291,26,26,0.001837326,9606,Homo sapiens,COL11A1;LAMA3;COL12A1;LOXL3;LAMC2;CTSV;CTSS;LOXL1;LOXL2;LAMB3;COL1A2;BMP1;COL4A2;COL5A1;COL4A1;COL7A1;COL4A4;COL5A2;COL4A3;COL6A1;PXDN;COL8A2;COL8A1;TLL2;ITGA6;TLL1;COL9A2,,R-HSA-2395302;R-HSA-2299620;R-HSA-1474266;R-HSA-2214324;R-HSA-2395314;R-HSA-2395324;R-HSA-2214330;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301;R-HSA-2022141;R-HSA-2395340;R-HSA-2213192;R-HSA-2213195;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2213205;R-HSA-2243926;R-HSA-2213207;R-HSA-2243931;R-HSA-2213208;R-HSA-2213210;R-HSA-2002466
R-HSA-9013148,CDC42 GTPase cycle,57,159,0.010433071,0.002852642,0.524886201,5,6,4.24E-04,9606,Homo sapiens,FHOD3;ARHGAP11B;TFRC;WIPF1;DOCK9;RASGRF2;WIPF2;ARHGAP5;FNBP1L;ARHGAP35;PREX1;OPHN1;PLEKHG3;VAV3;PLEKHG4;PLEKHG1;PLEKHG2;ARHGEF19;GMIP;ARHGAP45;BCR;TIAM1;ARHGAP10;DEPDC1B;DAAM1;CDC42EP3;ARHGEF4;CDC42EP1;ARHGEF7;ARHGEF5;NGEF;ARHGEF26;ARHGEF25;IQGAP2;FGD3;GNA13;FGD4;PLEKHG4B;PAK6;ECT2;YKT6;STARD13;JUP;CAV1;MYO9B;CDC42BPB;ARHGAP27;DEF6;VANGL1;FMNL3;ARHGAP33;ARHGAP31;DNMBP;FMNL2;DIAPH3;DLC1,,R-HSA-9013161;R-HSA-9692809;R-HSA-9013157;R-HSA-9013159;R-HSA-9013158
R-HSA-8980692,RHOA GTPase cycle,55,154,0.010104987,0.003589727,0.610253548,4,6,4.24E-04,9606,Homo sapiens,FHOD3;ARHGAP11A;ARHGAP11B;TFRC;SOWAHC;RASGRF2;ARHGAP5;ARHGAP6;ARHGAP35;PREX1;OPHN1;STBD1;PLEKHG3;VAV3;PLEKHG4;ARHGEF17;PLEKHG5;PLEKHG6;ARHGEF19;ARHGEF18;GMIP;ARHGAP45;BCR;TIAM1;ARHGAP10;DEPDC1B;DAAM1;ARHGEF4;ARHGEF7;OBSL1;ARHGEF5;NGEF;ARHGEF25;ARHGEF28;AAAS;DDRGK1;RHPN1;RHPN2;ECT2;YKT6;HMOX2;STARD13;JUP;MCAM;CAV1;MYO9B;DEF6;ARHGAP23;VANGL1;FMNL3;DIAPH1;ANLN;ARHGAP31;DIAPH3;DLC1,,R-HSA-9013004;R-HSA-9013009;R-HSA-8980691;R-HSA-8981637
R-HSA-421270,Cell-cell junction organization,28,68,0.004461942,0.005687118,0.834748389,17,21,0.001483994,9606,Homo sapiens,CTNND1;F11R;CLDN1;ACTB;CDH6;CLDN22;CDH3;CDH1;CLDN23;CDH24;PRKCI;TSTD1;CADM1;JUP;CLDN10;SDK1;CLDN4;CLDN9;CLDN7;CDH13;CTNNB1;CLDN16;NECTIN4;CDH18;CRB3;PALS1;NECTIN1,,R-HSA-420582;R-HSA-420580;R-HSA-5692437;R-HSA-419011;R-HSA-433711;R-HSA-419981;R-HSA-420586;R-HSA-420598;R-HSA-420661;R-HSA-373745;R-HSA-420019;R-HSA-420595;R-HSA-420592;R-HSA-433725;R-HSA-419002;R-HSA-419003;R-HSA-419001
R-HSA-3000170,Syndecan interactions,15,29,0.001902887,0.005729060,0.834748389,14,15,0.001059996,9606,Homo sapiens,ITGB1;SDC2;ITGB3;ACTN1;SDC3;FN1;CASK;PRKCA;FGF2;THBS1;CYTH2;COL1A2;COL5A1;COL5A2;ITGAV;ITGA6;PRKACA,,R-HSA-2731081;R-HSA-2750187;R-HSA-2681675;R-HSA-2731149;R-HSA-2750177;R-HSA-2731075;R-HSA-2731074;R-HSA-2731141;R-HSA-2750181;R-HSA-2731078;R-HSA-2684507;R-HSA-2681694;R-HSA-2731123;R-HSA-2731122
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,30,76,0.004986877,0.007587601,0.834748389,38,51,0.003603986,9606,Homo sapiens,COLGALT2;PCOLCE2;COL13A1;COL11A1;COL12A1;PLOD3;PLOD2;ADAMTS14;ADAMTS3;SERPINH1;COL26A1;P3H2;P3H3;COL1A2;BMP1;COL4A2;COL5A1;COL4A1;COL7A1;COL4A4;COL5A2;COL4A3;COL6A1;COL8A2;COL8A1;TLL2;TLL1;COL9A2,,R-HSA-8948232;R-HSA-8944265;R-HSA-2002460;R-HSA-8948234;R-HSA-8944266;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8948230;R-HSA-8944262;R-HSA-8948231;R-HSA-8944218;R-HSA-8944220;R-HSA-2002440;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-1650808;R-HSA-2002428;R-HSA-1614460;R-HSA-1614461;R-HSA-2022073;R-HSA-8944227;R-HSA-2089971;R-HSA-8944229;R-HSA-1981104;R-HSA-8944250;R-HSA-8948219;R-HSA-2152276;R-HSA-8948222;R-HSA-8944254;R-HSA-8944255;R-HSA-1981157;R-HSA-8944247
R-HSA-446353,Cell-extracellular matrix interactions,11,19,0.001246719,0.007639888,0.834748389,9,10,7.07E-04,9606,Homo sapiens,ITGB1;FBLIM1;ACTN1;ZYX;FLNA;ILK;PARVA;RSU1;LIMS2;FERMT2;ACTB,,R-HSA-446391;R-HSA-430311;R-HSA-430308;R-HSA-446372;R-HSA-430341;R-HSA-446322;R-HSA-432897;R-HSA-446364;R-HSA-430347
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",31,81,0.005314961,0.010101949,0.834748389,10,17,0.001201329,9606,Homo sapiens,ARHGEF26;MAGED1;RASGRF2;PSEN2;GNA13;FGD3;PREX1;FGD4;APH1B;BCL2L11;CASP3;UBC;CASP2;ECT2;VAV3;ARHGEF35;PLEKHG2;ARHGEF17;PLEKHG5;ARHGEF19;ARHGEF18;TIAM1;ARHGEF4;ARHGEF7;SOS1;OBSL1;SQSTM1;SOS2;ARHGEF5;NGEF,,R-HSA-204947;R-HSA-205075;R-HSA-205008;R-HSA-205115;R-HSA-205112;R-HSA-205039;R-HSA-205118;R-HSA-204958;R-HSA-205117;R-HSA-205132
R-HSA-2682334,EPH-Ephrin signaling,37,102,0.006692913,0.011735125,0.834748389,53,56,0.003957318,9606,Homo sapiens,ARHGEF28;ARPC1B;SDC2;PSEN2;AP2A1;STK4;EFNA5;EFNA4;ACTB;EFNB2;EFNB1;EFNB3;APH1B;NCK2;MYH14;FYN;MYH10;EPHB1;EPHB4;AP2M1;EPHB3;ACTR3;VAV3;LIMK2;LIMK1;GRIN2B;DNM1;EFNA1;TIAM1;ARPC2;MYH9;ARHGEF7;EPHA1;MYL9;NGEF,,R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928616;R-HSA-3928623;R-HSA-3928610;R-HSA-3928608;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-4093342;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-4093331;R-HSA-3928598;R-HSA-3928597;R-HSA-4093329;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-3928578;R-HSA-3928577;R-HSA-3928583;R-HSA-3928580;R-HSA-3928657;R-HSA-3928656;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928646;R-HSA-3928645;R-HSA-3928644
R-HSA-1474228,Degradation of the extracellular matrix,50,148,0.009711286,0.013665692,0.834748389,64,105,0.00741997,9606,Homo sapiens,FBN2;FBN3;COL13A1;COL11A1;LAMA3;COL12A1;LAMC2;CTSV;CTSS;ACAN;SCUBE3;CAPN9;CDH1;CASP3;BSG;CAPN5;TIMP2;SPP1;CAPN2;CAPN1;PRSS2;COL26A1;LAMB3;FN1;LAMB1;HSPG2;CAPN13;COL1A2;CAPN12;BMP1;COL4A2;COL5A1;COL4A1;MMP15;COL7A1;COL4A4;COL5A2;COL4A3;COL6A1;COL8A2;COL8A1;TLL2;ADAM8;TLL1;COL9A2;FBN1,,R-HSA-4086205;R-HSA-1474197;R-HSA-1564179;R-HSA-1592349;R-HSA-3791295;R-HSA-2471842;R-HSA-1604368;R-HSA-1604752;R-HSA-3791155;R-HSA-1564184;R-HSA-1604360;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-8848658;R-HSA-8855825;R-HSA-1458433;R-HSA-2534206;R-HSA-2533950;R-HSA-3814820;R-HSA-2533944;R-HSA-1564169;R-HSA-2482180;R-HSA-2514823;R-HSA-3788061;R-HSA-2167942;R-HSA-2514831;R-HSA-1592362;R-HSA-1454757;R-HSA-2534160;R-HSA-2484882;R-HSA-2485148;R-HSA-1602466;R-HSA-2537499;R-HSA-2534240;R-HSA-1564112;R-HSA-3827958;R-HSA-4224014;R-HSA-2168046;R-HSA-1564120;R-HSA-2534260;R-HSA-2533874;R-HSA-2172405;R-HSA-2473584;R-HSA-2473596;R-HSA-1605825;R-HSA-375135;R-HSA-2473594;R-HSA-8943959;R-HSA-2471621;R-HSA-1592314;R-HSA-1592316;R-HSA-1604350;R-HSA-1604722;R-HSA-2533965;R-HSA-1454843;R-HSA-3785684;R-HSA-1592310;R-HSA-1454822;R-HSA-2514772;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923;R-HSA-8943987
R-HSA-2243919,Crosslinking of collagen fibrils,12,24,0.001574803,0.015872298,0.834748389,13,13,9.19E-04,9606,Homo sapiens,BMP1;COL1A2;COL4A2;COL4A1;COL4A4;COL4A3;PXDN;LOXL3;TLL2;TLL1;LOXL1;LOXL2,,R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2559639;R-HSA-2395223;R-HSA-2243926;R-HSA-2395314;R-HSA-2395324;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,49,148,0.009711286,0.019910850,0.834748389,10,14,9.89E-04,9606,Homo sapiens,LGALS3BP;SPARC;CXCL8;SERPINA1;WDR1;ITGB3;SERPINE1;OLA1;CLU;LAMP1;PHACTR2;TIMP3;QSOX1;FAM3C;PRKACA;CAP1;SRGN;PRKCB;ACTN2;NSMCE3;APLP2;ACTN1;ANXA5;PRKCA;ACTN4;SYTL4;SELENOP;PECAM1;TAGLN2;TLN1;GAS6;VCL;CFD;ENDOD1;PDGFB;TRAK1;THBS1;IGSF9;CYTH2;FLNA;VTI1B;TGFB2;EGF;TGFB3;VEGFB;FN1;VEGFC;SOD1;SCCPDH;CALU;CD9;CALM1,,R-HSA-482775;R-HSA-481044;R-HSA-482772;R-HSA-481010;R-HSA-481009;R-HSA-114553;R-HSA-481007;R-HSA-114683;R-HSA-350745;R-HSA-114684
